Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_3bf91511	D	Ah, Commander, you're here.	game/chapter1.rpy	9	D "[what]"
start_4f73a5c1	I	As ordered, sir. What's the situation?	game/chapter1.rpy	14	I "[what]"
start_166f72aa	D	A message came in from Darkrose. It seems there's a fleet moving down the Kaldur river.	game/chapter1.rpy	19	D "[what]"
start_3c0b9f7a	I	They're massing in Kaldur? Are they planning an assault on Aegris?	game/chapter1.rpy	24	I "[what]"
start_54b647c1	D	That would be suicide, even for the Shuvur.	game/chapter1.rpy	29	D "[what]"
start_0252e974	I	Are the Shuvur above suicide?	game/chapter1.rpy	34	I "[what]"
start_57b58033		D’Aza pauses, only to become more stone faced.	game/chapter1.rpy	38	"[what]"
start_86ee6c57	D	If the Wraith's are confident enough to attack Aegris, they must have something planned.	game/chapter1.rpy	40	D "[what]"
start_ec4e9c76		Iris gives a curt nod.	game/chapter1.rpy	44	"[what]"
start_e5510d92	I	I see. Is that why you've called me here?	game/chapter1.rpy	46	I "[what]"
start_551fd8b7	D	The information Darkrose is carrying will be instrumental in determining the Wraith's next move.	game/chapter1.rpy	51	D "[what]"
start_0c5acc3f	D	Unfortunately, she has been trapped behind enemy lines.	game/chapter1.rpy	54	D "[what]"
start_510da6e7	D	I need you to bring her back to the Erebus.	game/chapter1.rpy	56	D "[what]"
start_8ad33061		D’Aza sifts through his papers and hands Iris a stack of dossiers. She looks at the cover photos.	game/chapter1.rpy	58	"[what]"
start_ae51f2b9	I	What are these?	game/chapter1.rpy	62	I "[what]"
start_eb8324d9	D	The flanker reserves. You'll need a squad to support you on the ground.	game/chapter1.rpy	67	D "[what]"
start_bae044ee	D	I'm afraid we can't spare a full unit, but knowing you, a full flanker section would only slow you down.	game/chapter1.rpy	69	D "[what]"
start_26d9f5e3		Iris’ expression doesn't shift as she flips through the dossiers.	game/chapter1.rpy	72	"[what]"
start_640400f1	I	You could send anyone for this. I should be back on the front lines.	game/chapter1.rpy	75	I "[what]"
start_d99bde89	D	I have it on good authority that you're the person for this job.	game/chapter1.rpy	80	D "[what]"
start_d0c6bcf4	I	And whose authority is that?	game/chapter1.rpy	85	I "[what]"
start_0c624da1	D	Agent Darkrose's, of course.	game/chapter1.rpy	90	D "[what]"
start_530cfe5e		Iris considers this for a moment.	game/chapter1.rpy	93	"[what]"
start_fb2c5370	I	Understood. These people will do.	game/chapter1.rpy	96	I "[what]"
chapter0s2_9d7ae220	B	Wake up, people! Leisure time is over!	game/chapter1.rpy	107	B "[what]"
chapter0s2_110ded0c		I’m jolted from my afternoon nap. {i}How unpleasant.{/i}	game/chapter1.rpy	109	"[what]"
chapter0s2_796a2c23	B	Rhea, Ace, I’d hate to interrupt your friendly conversation, but get yourselves in line. You all heard me: Fall in!	game/chapter1.rpy	113	B "[what]"
chapter0s2_559ea1d9		Field Sergeant Bentis, our section lead, is barking orders as usual.	game/chapter1.rpy	115	"[what]"
chapter0s2_feee4faa		I roll off my bunk, drop a few feet to the ground and join the other flankers.	game/chapter1.rpy	116	"[what]"
chapter0s2_f4cfd8a6	B	Good, that's what I wanted to see. Do I have your attention? Damn right I do!	game/chapter1.rpy	120	B "[what]"
chapter0s2_31ae4403		The twelve of us line up. Bentis walks down each row, eyeing each of us and looking for even the slightest signs of imperfection.	game/chapter1.rpy	122	"[what]"
chapter0s2_ff074fdb	B	Many of you have doubted the rumors from the Northern front. I didn't quite believe them myself.	game/chapter1.rpy	126	B "[what]"
chapter0s2_ba801027	B	However, I have just come from the war council’s office and have the distinct pleasure of telling you that every single one of them appears to be true.	game/chapter1.rpy	128	B "[what]"
chapter0s2_724d369b	B	We have a chance to disrupt the Wraith's movements and command believes that's just too good an opportunity to pass up. 	game/chapter1.rpy	132	B "[what]"
chapter0s2_0f940c33	B	So I want all y'all's boots on the deployment deck tomorrow for a hot jump at o'four-fifty.	game/chapter1.rpy	135	B "[what]"
chapter0s2_63d698c9	B	We have some special assignments too.	game/chapter1.rpy	138	B "[what]"
chapter0s2_f54e38b5	B	Ace, you're back on navigation. Bring us in softly this time. That's an order.	game/chapter1.rpy	140	B "[what]"
chapter0s2_31dea987	Ace	Yes sir!	game/chapter1.rpy	142	Ace "[what]"
chapter0s2_6aafe016	B	Rhea, I want double detblocks. We're going to need a little extra boom for this one.	game/chapter1.rpy	145	B "[what]"
chapter0s2_b7ef85d3	Rhea	Sir, the armory will only issue singles. There's an energetics shortage.	game/chapter1.rpy	147	Rhea "[what]"
chapter0s2_57b43392	B	I don't care if you have to steal them, get me my bombs.	game/chapter1.rpy	150	B "[what]"
chapter0s2_04532e66	Rhea	Yes sir.	game/chapter1.rpy	152	Rhea "[what]"
chapter0s2_e1de47b5		Bentis continues to read from the roster until everyone has an assignment...	game/chapter1.rpy	153	"[what]"
chapter0s2_1c2b7257		...Except for me.	game/chapter1.rpy	154	"[what]"
chapter0s2_9cb21b46	B	Alright, that's everyone.	game/chapter1.rpy	157	B "[what]"
chapter0s2_a39b7d8f	T	Sir?	game/chapter1.rpy	159	T "[what]"
chapter0s2_62b92489		Bentis stops in his tracks. Without turning his head, he addresses me.	game/chapter1.rpy	161	"[what]"
chapter0s2_9bdca5db	B	Ah, the Golden One. Do you have something to add?	game/chapter1.rpy	164	B "[what]"
chapter0s2_19b62839	T	Sir, you didn't give me an assignment.	game/chapter1.rpy	166	T "[what]"
chapter0s2_83dc820b	B	Your assignment is to stay on the Erebus and sweep the floor. I thought we were clear about this.	game/chapter1.rpy	168	B "[what]"
chapter0s2_fbfa781c		I grimace and bite my tongue. Bentis is a jerk, but I’ve dealt with his kind before.	game/chapter1.rpy	170	"[what]"
chapter0s2_aecadaca		If we were back in Spire, he would be working for me.	game/chapter1.rpy	171	"[what]"
chapter0s2_2f58eedc	T	Sir, I deserve to go on this mission.	game/chapter1.rpy	176	T "[what]"
chapter0s2_872da0ae	B	Excuse me? You {i}deserve{/i} something?	game/chapter1.rpy	179	B "[what]"
chapter0s2_f3884e90	T	Sir, I'd like to point out that I've been a member of this section since we left Spire-	game/chapter1.rpy	181	T "[what]"
chapter0s2_953c1a5d	B	And until very recently, you had the good grace to keep your mouth shut.	game/chapter1.rpy	184	B "[what]"
chapter0s2_c990f5e5	T	Sir, I’ve followed every stupid rule that the Navy has come up with, but despite that, you haven't deployed me once.	game/chapter1.rpy	186	T "[what]"
chapter0s2_4304afda		Bentis’ glare shifts, ever-so-slowly, to focus solely on me.	game/chapter1.rpy	188	"[what]"
chapter0s2_f98b3e63	B	Soldier, I am responsible for the safety and combat effectiveness-	game/chapter1.rpy	190	B "[what]"
chapter0s2_4ecf4cd2	T	But-	game/chapter1.rpy	192	T "[what]"
chapter0s2_a61f3717	B	Quiet! I will deploy you precisely and exactly when I decide it is best for {i}my{/i} 33rd flankers.	game/chapter1.rpy	195	B "[what]"
chapter0s2_085e579d	B	You will shut up and like it, Tallara, or I'm going to put your ass so far down the bench that you will be precisely the {i}last{/i} soldier to die in this war. Do you understand me?	game/chapter1.rpy	198	B "[what]"
chapter0s2_e5ecf3e5	T	Yes sir.	game/chapter1.rpy	200	T "[what]"
chapter0s2_311a18e1		Bentis turns back to the rest of the flankers.	game/chapter1.rpy	202	"[what]"
chapter0s2_2ee4d35e	B	And that would be a shame, Tallara. Do you know why?	game/chapter1.rpy	204	B "[what]"
chapter0s2_ccd4598b	T	Why is that, sir?	game/chapter1.rpy	206	T "[what]"
chapter0s2_d21bf113	B	Because I can't wait that long to be rid of you! A douchebag like you doesn't belong in the 33rd Flankers.	game/chapter1.rpy	209	B "[what]"
chapter0s2_816833b9		Bentis takes a breath.	game/chapter1.rpy	210	"[what]"
chapter0s2_f6c00fe5	B	Still, I'm not heartless. Since you are so eager to be a useful douchebag, I'm going to have Magnus stay behind and instruct you.	game/chapter1.rpy	213	B "[what]"
chapter0s2_b11cee5a		He points to a soldier farther down the line.	game/chapter1.rpy	215	"[what]"
chapter0s2_2ea0a402	M	Bullshit! Why do I have to train him?	game/chapter1.rpy	218	M "[what]"
chapter0s2_bbcf0a20	B	Magnus! You are to address me as ‘sir!’	game/chapter1.rpy	223	B "[what]"
chapter0s2_1403d306	M	...Yes sir.	game/chapter1.rpy	226	M "[what]"
chapter0s2_b996d482	B	Does anybody else want to question my authority?	game/chapter1.rpy	230	B "[what]"
chapter0s2_020359aa		The berth is silent.	game/chapter1.rpy	231	"[what]"
chapter0s2_adaff05d	B	No? Good.	game/chapter1.rpy	234	B "[what]"
chapter0s2_fdd91e47	B	Well... What are you waiting for, soldiers? Hop to it!	game/chapter1.rpy	236	B "[what]"
chapter0s2_054e50c5		The flankers go to work, except for Magnus and I.	game/chapter1.rpy	238	"[what]"
chapter0s2_38808b28	M	Thanks, hothead. This is all your fault.	game/chapter1.rpy	241	M "[what]"
chapter0s2_5cf10b34		Magnus shakes his head and walks away.	game/chapter1.rpy	243	"[what]"
